书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/19952400/,https://img2.doubanio.com/view/subject/s/public/s29107491.jpg,算法（第4版）, ,9.4,1601人,[美] Robert Sedgewick、[美] Kevin Wayne / 谢路云 / 人民邮电出版社 / 2012-10-1 / 99.00元,本书作为算法领域经典的参考书，全面介绍了关于算法和数据结构的必备知识，并特别针对排序、搜索、图处理和字符串处理进行了论述。第4版具体给出了每位程序员应知应会... ,Robert Sedgewick&Kevin Wayne,算法&计算机&编程&计算机科学&Algorithms&数据结构&Java&经典,人民邮电出版社
https://book.douban.com/subject/35680544/,https://img9.doubanio.com/view/subject/s/public/s34054114.jpg,代码随想录——跟着Carl学算法, ,9.1,94人,孙秀洋 / 电子工业出版社 / 2021-12 / 138,暂无,孙秀洋,算法&计算机&数据结构&编程&互联网&C/C++&未读&儿童文学,电子工业出版社
https://book.douban.com/subject/26979890/,https://img9.doubanio.com/view/subject/s/public/s29358625.jpg,算法图解, ,8.5,2478人,[美] Aditya Bhargava / 袁国忠 / 人民邮电出版社 / 2017-3 / 49.00元,本书示例丰富，图文并茂，以让人容易理解的方式阐释了算法，旨在帮助程序员在日常项目中更好地发挥算法的能量。书中的前三章将帮助你打下基础，带你学习二分查找、大O... ,Aditya Bhargava,算法&计算机&编程&Python&计算机科学&通俗易懂&初级&IT,人民邮电出版社
https://book.douban.com/subject/35641088/,https://img3.doubanio.com/view/subject/s/public/s34032260.jpg,计算之魂,计算科学品位和认知进阶,9.3,45人,吴军 / 人民邮电出版社 / 2021-11 / 109,对计算机科学的掌握程度，决定了一个计算机行业从业者能走多远。在本书中，作者将人文历史与计算机科学相结合，通过一些具体的例题，分10个主题系统地讲解了计算机科... ,吴军,计算机&计算机科学&吴军&算法&编程&科普&科技&程序,人民邮电出版社
https://book.douban.com/subject/35391618/,https://img9.doubanio.com/view/subject/s/public/s33849905.jpg,算法设计, ,9.3,35人,[美] Jon Kleinberg、[美] Éva Tardos / 王海鹏 / 人民邮电出版社 / 2021-3 / 119.00元,这是一本关于算法设计和分析的经典教材。本书围绕算法设计进行组织，对每种算法技术用多个典型范例进行分析，把算法的理论跟实际问题结合起来，具有很大的启发性。本书... ,Jon Kleinberg&Éva Tardos,算法&计算机&计算机科学&编程&程序设计&科普&計算機,人民邮电出版社
https://book.douban.com/subject/20432061/,https://img9.doubanio.com/view/subject/s/public/s25648004.jpg,算法导论（原书第3版）, ,9.2,1270人,Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 殷建平、徐云、王刚、刘晓光、苏明、邹恒明、王宏志 / 机械工业出版社 / 2012-12 / 128.00元,在有关算法的书中，有一些叙述非常严谨，但不够全面；另一些涉及了大量的题材，但又缺乏严谨性。本书将严谨性和全面性融为一体，深入讨论各类算法，并着力使这些算法的... ,Thomas H.Cormen&Charles E.Leiserson&Ronald L.Rivest&Clifford Stein,算法&算法导论&计算机&计算机科学&编程&经典&程序设计&数据结构,机械工业出版社
https://book.douban.com/subject/30357170/,https://img2.doubanio.com/view/subject/s/public/s29901301.jpg,我的第一本算法书, ,7.6,399人,[日]石田保辉、[日]宮崎修一 / 张贝 / 人民邮电出版社 / 2018-11 / 69.00元,本书采用大量图片，通过详细的分步讲解，以直观、易懂的方式展现了7个数据结构和26个基础算法的基本原理。第1章介绍了链表、数组、栈等7个数据结构；从第2章到第... ,石田保辉&宮崎修一,算法&计算机&编程&计算机科学&科普&数据分析&Algorithms&图灵,人民邮电出版社
https://book.douban.com/subject/33437381/,https://img2.doubanio.com/view/subject/s/public/s33778163.jpg,统计学习方法（第2版）, ,9.3,428人,李航 / 清华大学出版社 / 2019-5-1 / 98.00元,统计学习方法即机器学习方法，是计算机及其应用领域的一门重要学科。本书分为监督学 习和无监督学习两篇，全面系统地介绍了统计学习的主要方法。包括感知机、k 近邻... ,李航,机器学习&统计学习&人工智能&统计学&计算机&计算机科学&MachineLearning&算法,清华大学出版社
https://book.douban.com/subject/26827295/,https://img1.doubanio.com/view/subject/s/public/s29460367.jpg,算法笔记, ,9.2,302人,胡凡、曾磊 / 机械工业出版社 / 2016-7 / 65,这是一本零基础就能读懂的算法书籍，读者不需要因为自己没有语言基础而畏惧。书籍的第2章便是一个C语言的入门教程，内容非常易懂，并且十分实用，阅读完这章就可以对... ,胡凡&曾磊,算法&数据结构&计算机&编程&计算机科学&程序设计&考研,机械工业出版社
https://book.douban.com/subject/25837031/,https://img2.doubanio.com/view/subject/s/public/s27240262.jpg,算法心得：高效算法的奥秘（原书第2版）,高效算法的奥秘,8.8,61人,"[美] Henry S. Warren, Jr. / 爱飞翔 / 机械工业出版社 / 2014-3 / 89.00元",在本书中，作者给我们带来了一大批极为诱人的知识，其中包括各种节省程序运行时间的技巧、算法与窍门。学习了这些技术，程序员就可写出优雅高效的软件，同时还能洞悉其... ,"Henry S. Warren, Jr.",算法&计算机科学&编程&计算机&数学&Programming&程序&programming,机械工业出版社
